City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,kyren,51.6828,102.1408,15.83,89,99,0.44,RU,1693433546
316,onega,63.9061,38.1404,13.32,81,100,2.13,RU,1693433546
317,hermanus,-34.4187,19.2345,13.78,94,100,2.34,ZA,1693433547
318,nsanje,-16.92,35.262,18.66,79,0,1.16,MW,1693433547
319,port alfred,-33.5906,26.891,22.24,39,0,4.39,ZA,1693433547
320,xai-xai,-25.0519,33.6442,17.46,90,0,2.63,MZ,1693433548
321,dolores,-36.3132,-57.6792,13.52,68,62,2.26,AR,1693433548
322,kone,-21.0595,164.8658,24.35,80,99,1.74,NC,1693433548
323,tucano,-10.9631,-38.7867,26.79,56,3,6.29,BR,1693433549
324,hirara,24.8,125.2833,26.92,94,75,3.09,JP,1693433549
325,al qubbah,32.7616,22.2424,20.2,77,0,5.28,LY,1693433549
326,iskateley,67.6803,53.1512,7.61,86,48,3.29,RU,1693433549
327,remire-montjoly,4.9167,-52.2667,29.02,74,0,2.06,GF,1693433549
328,lazaro cardenas,17.9583,-102.2,30.31,69,64,3.43,MX,1693433330
329,taltal,-25.4,-70.4833,17.95,72,24,1.92,CL,1693433550
330,cartagena,10.3997,-75.5144,32.79,70,40,6.69,CO,1693433543
331,guarapari,-20.6667,-40.4975,23.27,94,69,1.58,BR,1693433550
332,pangkalanbuun,-2.6833,111.6167,22.52,94,97,1.06,ID,1693433551
333,san luis de la loma,17.2706,-100.8939,29.35,75,79,1.29,MX,1693433551
334,penhalonga,-18.8911,32.6978,10.31,93,20,1.57,ZW,1693433551
335,siwa oasis,29.2041,25.5195,32.32,31,1,4.31,EG,1693433552
336,fortuna,40.5982,-124.1573,26.19,62,0,8.75,US,1693432709
337,la plata,-34.9215,-57.9545,17.14,56,53,1.88,AR,1693433407
338,klyuchi,52.2667,79.1667,17.69,48,38,3.1,RU,1693433553
339,pelabuhanratu,-6.9875,106.5514,22.26,90,78,1.54,ID,1693433553
340,chalon-sur-saone,46.7833,4.85,17.77,61,98,1.78,FR,1693433553
341,cole harbour,44.6724,-63.4751,22.2,98,100,7.2,CA,1693433385
342,esfarayen,37.0765,57.5101,19.0,59,2,2.77,IR,1693433554
343,kavaratti,10.5669,72.642,28.19,78,90,7.72,IN,1693433554
344,moldova noua,44.7375,21.6669,18.35,66,12,1.56,RO,1693433554
345,ormara,25.2088,64.6357,26.19,83,56,5.57,PK,1693433554
346,anadyr,64.75,177.4833,10.28,87,75,5.0,RU,1693433554
